Rank,CCA3,Country/Territory,Capital,Continent,2023 population,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km_),density (km¬≤),growth rate,world percentage
223,COK,Cook Islands,Avarua,Oceania,17044,17011,17029,17695,17212,15897,17123,17651,20470,236,71,0.19%,0.00%
124,CRI,Costa Rica,San José,North America,5212173,5180829,5123105,4895242,4622252,3979193,3158253,2414303,1855697,51100,102,0.60%,0.07%
130,HRV,Croatia,Zagreb,Europe,4008617,4030358,4096868,4254815,4368682,4548434,4873707,4680144,4492638,56594,72,-0.54%,0.05%
85,CUB,Cuba,Havana,North America,11194449,11212191,11300698,11339894,11290417,11105791,10626680,9809107,8869636,109884,108,-0.16%,0.14%
189,CUW,Curacao,Willemstad,North America,192077,191163,189288,169572,159380,141424,155446,156851,150385,444,433,0.48%,0.00%
158,CYP,Cyprus,Nicosia,Europe,1260138,1251488,1237537,1187280,1129686,948237,788500,679327,640804,9251,136,0.69%,0.02%
88,CZE,Czech Republic,Prague,Europe,10495295,10493986,10530953,10523798,10464749,10234710,10301192,10270060,9795744,78865,136,0.01%,0.13%
115,DNK,Denmark,Copenhagen,Europe,5910913,5882261,5825641,5677796,5550849,5340655,5144623,5125392,4922963,43094,148,0.49%,0.07%
160,DJI,Djibouti,Djibouti,Africa,1136455,1120849,1090156,1006259,919199,742033,577173,324121,144379,23200,49,1.39%,0.01%
204,DMA,Dominica,Roseau,North America,73040,72737,71995,70007,68755,68346,69481,72978,68895,751,97,0.42%,0.00%
84,DOM,Dominican Republic,Santo Domingo,North America,11332972,11228821,10999664,10405832,9775755,8540791,7129004,5755800,4475871,48671,235,0.93%,0.14%
15,COD,DR Congo,Kinshasa,Africa,102262808,99010212,92853164,78656904,66391257,48616317,35987541,26708686,20151733,2344858,45,3.29%,1.28%
67,ECU,Ecuador,Quito,South America,18190484,18001000,17588595,16195902,14989585,12626507,10449837,8135845,6172215,276841,73,1.05%,0.23%
14,EGY,Egypt,Cairo,Africa,112716598,110990103,107465134,97723799,87252413,71371371,57214630,43748556,34781986,1002450,113,1.56%,1.41%
112,SLV,El Salvador,San Salvador,North America,6364943,6336392,6292731,6231066,6114034,5958482,5367179,4508992,3619090,21041,307,0.45%,0.08%
152,GNQ,Equatorial Guinea,Malabo,Africa,1714671,1674908,1596049,1346973,1094524,684977,465549,282509,316955,28051,61,2.37%,0.02%
132,ERI,Eritrea,Asmara,Africa,3748901,3684032,3555868,3340006,3147727,2392880,2149960,1657982,1272748,117600,31,1.76%,0.05%
156,EST,Estonia,Tallinn,Europe,1322765,1326062,1329444,1314657,1331535,1396877,1570674,1476983,1361999,45227,31,-0.25%,0.02%
159,SWZ,Eswatini,Mbabane,Africa,1210822,1201670,1180655,1133936,1099920,1030496,854011,598564,442865,17364,70,0.76%,0.02%
12,ETH,Ethiopia,Addis Ababa,Africa,126527060,123379924,117190911,102471895,89237791,67031867,47878073,34945469,28308246,1104300,112,2.55%,1.58%
