Rank,CCA3,Country/Territory,Capital,Continent,2023 population,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km_),density (km¬≤),growth rate,world percentage
70,SOM,Somalia,Mogadishu,Africa,18143378,17597511,16537016,13763906,12026649,8721465,6999096,5892224,3720977,637657,29,3.10%,0.23%
24,ZAF,South Africa,Pretoria,Africa,60414495,59893885,58801927,55876504,51784921,46813266,39877570,29463549,22368306,1221037,50,0.87%,0.75%
29,KOR,South Korea,Seoul,Asia,51784059,51815810,51844690,50994401,48813042,46788591,44120039,38170501,32601143,100210,531,-0.06%,0.65%
86,SSD,South Sudan,Juba,Africa,11088796,10913164,10606227,11194299,9714419,6114440,4750817,4192011,3342410,619745,18,1.61%,0.14%
30,ESP,Spain,Madrid,Europe,47519628,47558630,47363807,46431342,46572772,40741651,38889889,37491666,33792617,505992,95,-0.08%,0.59%
61,LKA,Sri Lanka,Colombo,Asia,21893579,21832143,21715079,21336697,20668557,18776371,17204094,14943645,12388769,65610,354,0.28%,0.27%
32,SDN,Sudan,Khartoum,Africa,48109006,46874204,44440486,38171178,33739933,26298773,21090886,16673586,11305206,1886068,26,2.63%,0.60%
170,SUR,Suriname,Paramaribo,South America,623236,618040,607065,575475,546080,478998,412756,375112,379918,163820,4,0.84%,0.01%
87,SWE,Sweden,Stockholm,Europe,10612086,10549347,10368969,9849349,9381729,8871043,8548406,8311763,8027702,450295,26,0.59%,0.13%
101,CHE,Switzerland,Bern,Europe,8796669,8740472,8638613,8281732,7822435,7182059,6711693,6319113,6181227,41284,223,0.64%,0.11%
60,SYR,Syria,Damascus,Asia,23227014,22125249,20772595,19205178,22337563,16307654,12408996,8898954,6319199,185180,126,4.98%,0.29%
57,TWN,Taiwan,Taipei,Asia,23923276,23893394,23821464,23512136,23083083,22194731,20586174,18100281,14957870,36193,661,0.13%,0.30%
95,TJK,Tajikistan,Dushanbe,Asia,10143543,9952787,9543207,8524063,7621779,6272998,5417860,4045965,2993019,143100,73,1.92%,0.13%
22,TZA,Tanzania,Dodoma,Africa,67438106,65497748,61704518,52542823,45110527,34463704,26206012,19297659,13618192,945087,76,2.96%,0.84%
20,THA,Thailand,Bangkok,Asia,71801279,71697030,71475664,70294397,68270489,63066603,55228410,45737753,35791728,513120,141,0.15%,0.90%
155,TLS,Timor-Leste,Dili,Asia,1360596,1341296,1299995,1205813,1088486,878360,758106,642224,554021,14874,91,1.44%,0.02%
100,TGO,Togo,Lomé,Africa,9053799,8848699,8442580,7473229,6571855,5008035,3875947,2838110,2197383,56785,166,2.32%,0.11%
233,TKL,Tokelau,Nukunonu,Oceania,1893,1871,1827,1454,1367,1666,1669,1647,1714,12,189,1.18%,0.00%
197,TON,Tonga,Nuku‘alofa,Oceania,107773,106858,105254,106122,107383,102603,98727,96708,86484,747,150,0.86%,0.00%
153,TTO,Trinidad and Tobago,Port-of-Spain,North America,1534937,1531044,1518147,1460177,1410296,1332203,1266518,1127852,988890,5130,299,0.25%,0.02%
79,TUN,Tunisia,Tunis,Africa,12458223,12356117,12161723,11557779,10895063,9893316,8440023,6578156,5047404,163610,80,0.83%,0.16%
18,TUR,Turkey,Ankara,Asia,85816199,85341241,84135428,79646178,73195345,64113547,54324142,44089069,35540990,783562,110,0.56%,1.07%
111,TKM,Turkmenistan,Ashgabat,Asia,6516100,6430770,6250438,5766431,5267970,4569132,3720278,2862903,2201432,488100,14,1.33%,0.08%
212,TCA,Turks and Caicos Islands,Cockburn Town,North America,46062,45703,44276,36538,29726,18744,11709,7598,5665,948,49,0.79%,0.00%
227,TUV,Tuvalu,Funafuti,Oceania,11396,11312,11069,10877,10550,9638,9182,7731,5814,26,380,0.74%,0.00%
31,UGA,Uganda,Kampala,Africa,48582334,47249585,44404611,37477356,32341728,24020697,17586630,13284026,10317212,241550,242,2.82%,0.61%
38,UKR,Ukraine,Kiev,Europe,36744634,39701739,43909666,44982564,45683020,48879755,51589817,49973920,47279086,603500,63,-7.45%,0.46%
97,ARE,United Arab Emirates,Abu Dhabi,Asia,9516871,9441129,9287289,8916899,8481771,3275333,1900151,1014048,298084,83600,134,0.80%,0.12%
21,GBR,United Kingdom,London,Europe,67736802,67508936,67059474,65224364,62760039,58850043,57210442,56326328,55650166,242900,280,0.34%,0.85%
3,USA,United States,"Washington, D.C.",North America,339996563,338289857,335942003,324607776,311182845,282398554,248083732,223140018,200328340,9372610,37,0.50%,4.25%
200,VIR,United States Virgin Islands,Charlotte Amalie,North America,98750,99465,100442,102803,106142,108185,100685,96640,63446,347,285,-0.72%,0.00%
133,URY,Uruguay,Montevideo,South America,3423108,3422794,3429086,3402818,3352651,3292224,3117012,2953750,2790265,181034,20,0.01%,0.04%
43,UZB,Uzbekistan,Tashkent,Asia,35163944,34627652,33526656,30949417,28614227,24925554,20579100,15947129,12011361,447400,80,1.55%,0.44%
181,VUT,Vanuatu,Port-Vila,Oceania,334506,326740,311685,276438,245453,192074,150882,118156,87019,12189,27,2.38%,0.00%
234,VAT,Vatican City,Vatican City,Europe,518,510,520,564,596,651,700,733,752,1,1177,1.57%,0.00%
51,VEN,Venezuela,Caracas,South America,28838499,28301696,28490453,30529716,28715022,24427729,19750579,15210443,11355475,916445,33,1.90%,0.36%
16,VNM,Vietnam,Hanoi,Asia,98858950,98186856,96648685,92191398,87411012,79001142,66912613,52968270,41928849,331212,315,0.68%,1.23%
226,WLF,Wallis and Futuna,Mata-Utu,Oceania,11502,11572,11655,12182,13142,14723,13454,11315,9377,142,42,-0.60%,0.00%
172,ESH,Western Sahara,El Aaiún,Africa,587259,575986,556048,491824,413296,270375,178529,116775,76371,266000,2,1.96%,0.01%
46,YEM,Yemen,Sanaa,Asia,34449825,33696614,32284046,28516545,24743946,18628700,13375121,9204938,6843607,527968,65,2.24%,0.43%
63,ZMB,Zambia,Lusaka,Africa,20569737,20017675,18927715,16248230,13792086,9891136,7686401,5720438,4281671,752612,28,2.76%,0.26%
74,ZWE,Zimbabwe,Harare,Africa,16665409,16320537,15669666,14154937,12839771,11834676,10113893,7049926,5202918,390757,43,2.11%,0.21%
