rank,cca3,country/territory,capital,continent,2023_population,2022_population,2020_population,2015_population,2010_population,2000_population,1990_population,1980_population,1970_population,area_(km_),density_(kmâ²),growth_rate,world_percentage,growth_2000_to_2023,growth_2010_to_2020,projected_growth_rate,projected_population_2030,density_1970,density_2000,density_2023,development_status
165,BTN,Bhutan,Thimphu,Asia,787424,782455,772506,743274,705516,587207,558442,415257,298894,38394,21,0.64%,0.01%,34.096494081303526,9.49517799738064,0.012837769095825458,860969.6916067309,7.78491430952753,15.294238683127572,20.5090378705006,Developing
80,BOL,Bolivia,Sucre,South America,12388571,12224110,11936162,11090085,10223270,8592656,7096194,5736088,4585693,1098581,11,1.35%,0.15%,44.17627099234509,16.7548348033457,0.01603443143203065,13847781.212686112,4.174196531707721,7.8215953124985775,11.27688445367251,Developing
137,BIH,Bosnia and Herzegovina,Sarajevo,Europe,3210847,3233526,3318407,3524324,3811088,4179350,4494310,4199820,3815561,51209,63,-0.70%,0.04%,-23.173531769294268,-12.92756819050098,-0.011396345193829815,2963296.399329526,74.50957839442286,81.61358354976664,62.70083383780195,Developing
144,BWA,Botswana,Gaborone,Africa,2675352,2630296,2546402,2305171,2091664,1726985,1341474,938578,592244,582000,5,1.71%,0.03%,54.91460551191817,21.740489868353617,0.019212838132706356,3056575.5095422138,1.0176013745704466,2.967328178694158,4.5968247422680415,Developing
7,BRA,Brazil,Brasilia,South America,216422446,215313498,213196304,205188205,196353492,175873720,150706446,122288383,96369875,8515767,26,0.52%,2.70%,23.055591250358496,8.577801101698766,0.009061067279022339,230528408.23668706,11.316640650219762,20.652716308466402,25.41432216264254,Developing
221,VGB,British Virgin Islands,Road Town,North America,31538,31305,30910,29366,27556,20104,15617,11109,9581,151,210,0.74%,0.00%,56.87425387982491,12.171577877776164,0.019770035437217226,36170.11382660399,63.450331125827816,133.13907284768212,208.86092715231788,Developing
175,BRN,Brunei,Bandar Seri Begawan,Asia,452524,449002,441725,421437,396053,333926,261928,187921,133343,5765,86,0.78%,0.01%,35.51625210375951,11.531789937205374,0.013301663796142504,496378.4373880798,23.129748482220293,57.922983521248916,78.49505637467476,Developing
108,BGR,Bulgaria,Sofia,Europe,6687717,6781953,6979175,7309253,7592273,8097691,8767778,8980606,8582950,110879,62,-1.39%,0.08%,-17.41204992880069,-8.07528917887963,-0.008283173418050405,6309452.297364694,77.40825584646326,73.03178239341986,60.315451979184516,Developing
58,BFA,Burkina Faso,Ouagadougou,Africa,23251485,22673762,21522626,18718019,16116845,11882888,9131361,6932967,5611666,272967,85,2.55%,0.29%,95.67200330424726,33.5411862557467,0.029615710071459134,28521792.671072908,20.55803815113182,43.532324420168,85.18057127784677,Developing
78,BDI,Burundi,Bujumbura,Africa,13238559,12889576,12220227,10727148,9126605,6307659,5483793,4312834,3497834,27834,516,2.71%,0.17%,109.88070217492734,33.89674473695312,0.032758563358176174,16589463.769425496,125.66767263059567,226.61705108859667,475.6254580728605,Developing
