rank,cca3,country/territory,capital,continent,2023_population,2022_population,2020_population,2015_population,2010_population,2000_population,1990_population,1980_population,1970_population,area_(km_),density_(kmâ²),growth_rate,world_percentage,growth_2000_to_2023,growth_2010_to_2020,projected_growth_rate,projected_population_2030,density_1970,density_2000,density_2023,development_status
139,JAM,Jamaica,Kingston,North America,2825544,2827377,2820436,2794445,2733896,2612205,2392030,2135546,1859091,10991,261,-0.06%,0.04%,8.167008332041322,3.165445942347478,0.0034191459102697053,2893868.2729433463,169.1466654535529,237.66763715767445,257.07797288690745,Developing
11,JPN,Japan,Tokyo,Asia,123294513,123951692,125244761,127250933,128105431,126803861,123686321,117624196,105416839,377930,338,-0.53%,1.54%,-2.7675403353845827,-2.2330591120684025,-0.001219498550153686,122245853.39963654,278.932180562538,335.522083454608,326.236374460879,Developed
195,JEY,Jersey,Saint Helier,Europe,111802,110778,108319,100561,96151,86192,82874,75124,68347,116,932,0.92%,0.00%,29.712734360497496,12.655094590799887,0.011375170938023427,121013.99145578951,589.198275862069,743.0344827586207,963.8103448275862,Developing
83,JOR,Jordan,Amman,Asia,11337052,11285869,10928721,9494246,6931258,5056174,3480587,2216903,1557374,89342,128,0.45%,0.14%,124.22195122240652,57.6729794216288,0.035730761506702624,14495335.256230023,17.431599919410804,56.593472275077794,126.89498779969108,Developing
66,KAZ,Kazakhstan,Nursultan,Asia,19606633,19397998,18979243,17835909,16627837,15236253,16866563,14172710,12265305,2724900,7,1.08%,0.24%,28.684086566428114,14.141382309677441,0.011025128171543885,21170770.680277772,4.501194539249147,5.591490696906308,7.195358728760689,Developing
27,KEN,Kenya,Nairobi,Africa,55100586,54027487,51985780,46851488,41517895,30851606,23162269,16187124,11473087,580367,97,1.99%,0.69%,78.5987607906052,25.21294733271039,0.025536770531126463,65737755.784745544,19.768675682800712,53.15878745690227,94.94093564933912,Developing
192,KIR,Kiribati,Tarawa,Oceania,133515,131232,126463,116707,107995,88826,75124,60813,57437,811,165,1.74%,0.00%,50.31071983428276,17.100791703319597,0.017876799101179452,151145.96858514322,70.82244143033292,109.5265104808878,164.6300863131936,Developing
129,KWT,Kuwait,Kuwait City,Asia,4310108,4268873,4360444,3908743,2943356,1934901,1674938,1493870,802786,17818,242,0.97%,0.05%,122.75599630161958,48.145314396219824,0.03543542088599194,5499830.123413638,45.054776069143564,108.59249073970143,241.89628465596587,Developing
110,KGZ,Kyrgyzstan,Bishkek,Asia,6735347,6630623,6424874,5914980,5483774,4935182,4394734,3691209,3016384,199951,35,1.58%,0.08%,36.47616237861136,17.161538750502846,0.013612680137194966,7403962.649568105,15.085615975914099,24.681957079484473,33.684987822016396,Developing
103,LAO,Laos,Vientiane,Asia,7633779,7529475,7319399,6787419,6323418,5430853,4314443,3297519,2675283,236800,33,1.39%,0.10%,40.56316751714694,15.750674714213103,0.01491389216757133,8467280.812306445,11.297647804054055,22.93434543918919,32.23724239864865,Developing
151,LVA,Latvia,Riga,Europe,1830211,1850651,1897052,1991955,2101530,2392530,2689391,2572037,2397414,64559,29,-1.10%,0.02%,-23.503111768713453,-9.729958649174648,-0.011581117543847053,1686896.3375094703,37.13524063259964,37.05958890317384,28.349432302235165,Developing
119,LBN,Lebanon,Beirut,Asia,5353930,5489739,5662923,6398940,4995800,4320642,3593700,2963702,2381791,10452,523,-2.47%,0.07%,23.91514964674231,13.353677088754553,0.009366500987944226,5714982.424493081,227.87897053195562,413.37944890929964,512.2397627248373,Developing
147,LSO,Lesotho,Maseru,Africa,2330318,2305825,2254100,2118521,2022747,1998630,1798997,1407672,1023481,30355,77,1.06%,0.03%,16.59576810114929,11.437564856109043,0.0066981062584443585,2441799.2234926405,33.71704826223028,65.8418711909076,76.76883544720803,Developing
121,LBR,Liberia,Monrovia,Africa,5418377,5302681,5087584,4612329,4019956,2895224,2209731,1932169,1463563,111369,56,2.18%,0.07%,87.14880092179396,26.558201134539782,0.02762395486232405,6557053.931329105,13.141565426644757,25.996677711032692,48.652470615700956,Developing
107,LBY,Libya,Tripoli,Africa,6888388,6812341,6653942,6192235,6491988,5154790,4236983,2962720,1909177,1759540,4,1.12%,0.09%,33.63081716228983,2.494674974753496,0.012684589232025756,7523795.952577807,1.0850432499403253,2.929623651636223,3.9148800254612,Developing
216,LIE,Liechtenstein,Vaduz,Europe,39584,39327,38756,37355,35926,33026,28765,25003,21089,160,247,0.65%,0.00%,19.85708229879489,7.877303345766297,0.007906302613819527,41827.393727685565,131.80625,206.4125,247.4,Developing
141,LTU,Lithuania,Vilnius,Europe,2718352,2750055,2820267,2963765,3139019,3599637,3785847,3521206,3210147,65300,43,-1.15%,0.03%,-24.482607551817033,-10.154510055530087,-0.01213478082462971,2495683.7897504154,49.15998468606432,55.124609494640126,41.628667687595716,Developing
168,LUX,Luxembourg,Luxembourg,Europe,654768,647599,630399,569408,507070,435628,381267,363741,339342,2586,254,1.11%,0.01%,50.30438814768564,24.321888496657266,0.01787493484502911,741222.1455844622,131.22273781902553,168.45630317092034,253.1972157772622,Developing
167,MAC,Macau,Concelho de Macau,Asia,704149,695168,676283,615239,557297,431896,350227,245332,247284,30,21403,1.29%,0.01%,63.03670328041936,21.350554551702235,0.021479838970398957,817096.1464270409,8242.8,14396.533333333333,23471.633333333335,Developing
50,MDG,Madagascar,Antananarivo,Africa,30325732,29611714,28225177,24850912,21731053,16216431,11882762,8948162,6639751,587041,52,2.41%,0.38%,87.00620376949773,29.88407418637284,0.02758989926534161,36690200.03492994,11.310540490357573,27.62401774322407,51.65862691021581,Developing
62,MWI,Malawi,Lilongwe,Africa,20931751,20405317,19377061,16938942,14718422,11229387,9539665,6267369,4625141,118484,222,2.58%,0.26%,86.40154622865879,31.651755874372945,0.027445216121787963,25299752.954551782,39.03599642145775,94.77555619324129,176.66310219101314,Developing
45,MYS,Malaysia,Kuala Lumpur,Asia,34308525,33938221,33199993,31068833,28717731,22945150,17517054,13215707,10306508,330803,104,1.09%,0.43%,49.52408243136349,15.60799493525446,0.01764461023819508,38777071.25079059,31.156029419322074,69.36197676562789,103.71285931506063,Developing
174,MDV,Maldives,Mal,Asia,521021,523787,514438,435582,361575,282507,224957,164887,123243,300,1737,-0.53%,0.01%,84.42764250089378,42.27698264537095,0.0269697533858404,627709.6392415168,410.81,941.69,1736.7366666666667,Developing
59,MLI,Mali,Bamako,Africa,23293698,22593590,21224040,18112907,15529181,11239101,8945026,7372581,6153587,1240192,19,3.10%,0.29%,107.25588283262158,36.67198547045076,0.03219361464999704,29078139.611903295,4.961801882289194,9.06238792058004,18.782332090515016,Developing
173,MLT,Malta,Valletta,Europe,535064,533286,515357,456579,418755,399212,365392,333587,315414,316,1672,0.33%,0.01%,34.03003917717904,23.068858879296965,0.012815940559324668,584950.9195979332,998.1455696202531,1263.3291139240507,1693.240506329114,Developing
215,MHL,Marshall Islands,Majuro,Oceania,41996,41569,43413,49410,53416,54224,46047,31988,23969,181,233,1.03%,0.00%,-22.55089997049277,-18.72659877190355,-0.011049339116891765,38853.51388602847,132.4254143646409,299.58011049723757,232.02209944751382,Developing
180,MTQ,Martinique,Fort-de-France,North America,366981,367507,370391,383515,392181,432543,374271,333786,326428,1128,325,-0.14%,0.00%,-15.157336958406448,-5.556108021551274,-0.007121118072815902,349073.9936197518,289.38652482269504,383.4601063829787,325.33776595744683,Developing
126,MRT,Mauritania,Nouakchott,Africa,4862989,4736139,4498604,3946220,3419461,2695003,2006027,1506694,1122198,1030700,5,2.68%,0.06%,80.44465998739147,31.55886263946277,0.025995350744650203,5819973.89619441,1.0887726787620065,2.6147307654991754,4.718142039390705,Developing
157,MUS,Mauritius,Port Louis,Africa,1300557,1299469,1297828,1293153,1283330,1215930,1090290,954865,830115,2040,641,0.08%,0.02%,6.95985788655597,1.1297172200447274,0.0029296490649257656,1327463.7891515743,406.91911764705884,596.0441176470588,637.5279411764706,Developing
182,MYT,Mayotte,Mamoudzou,Africa,335995,326101,305587,249545,211786,159215,92659,52233,35383,374,898,3.03%,0.00%,111.03225198630781,44.29046301455243,0.03300428541658795,421742.79993926705,94.60695187165776,425.7085561497326,898.3823529411765,Developing
10,MEX,Mexico,Mexico City,North America,128455567,127504125,125998302,120149897,112532401,97873442,81720428,67705186,50289306,1964375,66,0.75%,1.60%,31.246602117048262,11.966243393313896,0.011892236389122957,139538091.08114898,25.600664842507157,49.82421482659879,65.39258899140948,Developing
194,FSM,Micronesia,Palikir,Oceania,115224,114164,112106,109462,107588,111709,98603,76299,58989,702,165,0.93%,0.00%,3.146568315892184,4.1993530877049485,0.0013478982125423311,116315.57764467341,84.02991452991454,159.12962962962962,164.13675213675214,Developing
135,MDA,Moldova,Chisinau,Europe,3435931,3272996,3084847,3277388,3678186,4251573,4480199,4103240,3711140,33846,104,4.98%,0.04%,-19.184475957486793,-16.13129406723858,-0.009218167583228354,3220258.0553110824,109.64781658098445,125.61522779648999,101.5166046209301,Developing
217,MCO,Monaco,Monaco,Europe,36297,36469,36922,36760,33178,32465,30329,27076,24270,2,18149,-0.47%,0.00%,11.803480671492377,11.284586171559468,0.004862763622030419,37550.697124289654,12135.0,16232.5,18148.5,Developing
134,MNG,Mongolia,Ulaanbaatar,Asia,3447157,3398366,3294335,2964749,2702520,2450979,2161433,1697780,1293880,1564110,2,1.44%,0.04%,40.644085485840556,21.898635347749508,0.014939287579182503,3824208.057046837,0.8272308213616689,1.5670119109269809,2.2039095715774466,Developing
169,MNE,Montenegro,Podgorica,Europe,626485,627082,629048,633966,631044,633324,621442,589324,530268,13812,47,-0.10%,0.01%,-1.0798580189602793,-0.3163012404840233,-0.00047194546930029446,624418.2607051517,38.39183318853171,45.85317115551694,45.35802200984651,Developing
230,MSR,Montserrat,Brades,North America,4386,4390,4500,5059,4938,5138,10805,11452,11402,102,43,-0.09%,0.00%,-14.636045153756324,-8.869987849331713,-0.00685665680301617,4179.768023473019,111.7843137254902,50.372549019607845,43.0,Developing
40,MAR,Morocco,Rabat,Africa,37840044,37457971,36688772,34680458,32464865,28554415,24570814,19678444,15274351,446550,85,1.02%,0.47%,32.51906579070172,13.010702493295446,0.01231681490600045,41225581.23908494,34.20524241406338,63.94449669689844,84.73864964729593,Developing
48,MOZ,Mozambique,Maputo,Africa,33897354,32969517,31178239,26843246,23073723,17768505,13303459,11413587,8411676,801590,43,2.81%,0.42%,90.77212179640324,35.1244400394336,0.0284810649358076,41261014.49720576,10.493738694344989,22.166575181826122,42.28764580396462,Developing
26,MMR,Myanmar,Nay Pyi Taw,Asia,54577997,54179306,53423198,51483949,49390988,45538332,40099553,33465781,27284112,676578,84,0.74%,0.68%,19.850672176574232,8.163857746680426,0.007903958892112595,57670225.61620932,40.32663196261185,67.3068471041033,80.66770867512689,Developing
145,NAM,Namibia,Windhoek,Africa,2604172,2567012,2489098,2282704,2099271,1819141,1369011,975994,754467,825615,3,1.45%,0.03%,43.15393913940701,18.56963679296289,0.01572012314113147,2904611.560938835,0.9138242401119165,2.2033768766313595,3.1542207929846238,Developing
225,NRU,Nauru,Yaren,Oceania,12780,12668,12315,11185,10241,10377,9598,7635,6663,21,639,0.88%,0.00%,23.156981786643538,20.251928522605215,0.009097201159483426,13616.386336396492,317.2857142857143,494.14285714285717,608.5714285714286,Developing
49,NPL,Nepal,Kathmandu,Asia,30896590,30547580,29348627,27610325,27161567,24559500,19616530,15600442,12501285,147181,216,1.14%,0.39%,25.803009018913254,8.052039118361618,0.010030277067410776,33132278.07735465,84.93817136722811,166.86596775399,209.9224084630489,Developing
71,NLD,Netherlands,Amsterdam,Europe,17618299,17564014,17434557,17041107,16617116,15899135,14944548,14130387,13037686,41850,523,0.31%,0.22%,10.81294045242084,4.919271190018773,0.00447403843539762,18177535.083088692,311.533715651135,379.90764635603347,420.9868339307049,Developing
185,NCL,New Caledonia,Nouma,Oceania,292991,289950,286403,283032,261426,221537,177264,148599,110982,18575,16,1.05%,0.00%,32.25375445185229,9.554137690971825,0.0122286121318258,319010.1812781183,5.974804845222073,11.926621803499327,15.773405114401077,Developing
123,NZL,New Zealand,Wellington,Oceania,5228100,5185288,5061133,4590590,4346338,3855266,3397389,3147168,2824061,270467,20,0.83%,0.07%,35.609319823846135,16.44591377844981,0.013331910357486043,5735957.424876548,10.441425386461194,14.254108634325075,19.329899765960356,Developing
106,NIC,Nicaragua,Managua,North America,7046310,6948392,6755895,6298598,5855734,5123222,4227820,3303309,2444767,130373,59,1.41%,0.09%,37.53669077779569,15.372300039585133,0.013953873689042773,7764064.542157339,18.752095909429098,39.29664884600339,54.0473104093639,Developing
54,NER,Niger,Niamey,Africa,27202843,26207977,24333639,20128124,16647543,11622665,8370647,6173177,4669708,1267000,21,3.80%,0.34%,134.0499618633076,46.16955186720347,0.037664345662217213,35238105.93892396,3.6856416732438833,9.17337411207577,21.47027861089187,Developing
6,NGA,Nigeria,Abuja,Africa,223804632,218541212,208327405,183995785,160952853,122851984,95214257,72951439,55569264,923768,246,2.41%,2.80%,82.17421055243193,29.433806929784588,0.026420972456158154,268625781.08094364,60.154999956699086,132.99008409037768,242.2736358046609,Developing
232,NIU,Niue,Alofi,Oceania,1935,1934,1942,1847,1812,2074,2533,3637,5185,260,7,0.05%,0.00%,-6.702025072324011,7.174392935982341,-0.0030116204379809774,1894.5743104885648,19.942307692307693,7.976923076923077,7.4423076923076925,Developing
56,PRK,North Korea,Pyongyang,Asia,26160821,26069416,25867467,25258015,24686435,23367059,20799523,17973650,14996879,120538,217,0.35%,0.33%,11.955984704793188,4.784133472492079,0.004922319106724249,27075645.08902788,124.41619240405515,193.85636894589257,217.03380676633094,Developing
150,MKD,North Macedonia,Skopje,Europe,2085679,2093599,2111072,2107962,2093828,2037936,2044174,1907023,1656783,25713,83,-0.38%,0.03%,2.342713412001162,0.8235633490429969,0.0010073300920108164,2100430.288941399,64.43367168358418,79.25702951814257,81.11379457861781,Developing
210,NFK,Northern Mariana Islands,Saipan,Oceania,49796,49551,49587,51514,54087,80338,48002,17613,10143,464,108,0.49%,0.00%,-38.016878687545116,-8.319929003272506,-0.02058125757438134,43050.017471825166,21.85991379310345,173.14224137931035,107.31896551724138,Developing
120,NOR,Norway,Oslo,Europe,5474360,5434319,5379839,5190356,4889741,4491202,4241636,4085776,3875546,323802,15,0.74%,0.07%,21.890754412738506,10.022984857480182,0.008643883683037812,5814312.489171062,11.968876041531553,13.870210807839358,16.906504592312587,Developing
127,OMN,Oman,Muscat,Asia,4644384,4576298,4543399,4191776,2881914,2344253,1804524,1017462,670693,309500,15,1.49%,0.06%,98.11786526454269,57.65213673968065,0.030171956961561497,5718685.123488154,2.1670210016155087,7.574323101777059,15.006087237479806,Developing
5,PAK,Pakistan,Islamabad,Asia,240485658,235824862,227196741,210969298,194454498,154369924,115414069,80624057,59290872,881912,312,1.98%,3.00%,55.78530569205955,16.8379972367623,0.0194612364239799,275222667.71818614,67.22991863133737,175.04005388292708,272.6866830250637,Developing
222,PLW,Palau,Ngerulmud,Oceania,18058,18055,17972,17794,18540,19726,15293,12252,11366,459,39,0.02%,0.00%,-8.455845077562607,-3.0636461704422873,-0.0038338823842976044,17578.91277706106,24.762527233115467,42.9760348583878,39.34204793028322,Developing
122,PSE,Palestine,Ramallah,Asia,5371230,5250072,5019401,4484614,3992278,3139954,2124609,1453620,1118241,6220,892,2.31%,0.07%,71.06078624081754,25.727742406716164,0.023615790284887028,6324593.048878247,179.78151125401928,504.81575562700965,863.5418006430868,Developing
128,PAN,Panama,Panama City,North America,4468087,4408581,4294396,3957099,3623617,3001731,2449968,1956987,1516188,75417,60,1.35%,0.06%,48.85034668329707,18.511310660039403,0.017444815342541498,5043100.956927618,20.104061418513066,39.801782091570864,59.24509062943368,Developing
93,PNG,Papua New Guinea,Port Moresby,Oceania,10329931,10142619,9749640,8682174,7583269,5508297,3864972,3104788,2489059,462840,23,1.85%,0.13%,87.53402367374163,28.56777202549455,0.027715831287684622,12508601.207926698,5.377795782559848,11.901082447498055,22.318578774522514,Developing
109,PRY,Paraguay,Asuncin,South America,6861524,6780744,6618695,6177950,5768613,5123819,4059195,3078912,2408787,406752,17,1.19%,0.09%,33.91425419203918,14.736332633165025,0.012777883757606467,7499288.29889396,5.922004071276847,12.596911631657619,16.869060262764535,Developing
44,PER,Peru,Lima,South America,34352719,34049588,33304756,30711863,29229572,26654439,22109099,17492406,13562371,1285216,27,0.89%,0.43%,28.881793385334426,13.941989981926522,0.0110926139102685,37110574.86816246,10.552600496725843,20.739267951846227,26.729140471329334,Developing
13,PHL,Philippines,Manila,Asia,117337368,115559009,112190977,103031365,94636700,77958223,61558898,48419546,37435586,342353,394,1.54%,1.47%,50.51313829972754,18.54912206363916,0.017936358183485934,132886458.78695123,109.3479128268191,227.7129833826489,342.7379576051619,Developing
37,POL,Poland,Warsaw,Europe,41026067,39857145,38428366,38553146,38597353,38504431,38064255,35521429,32482943,312679,134,2.93%,0.51%,6.548950171475069,-0.43782017901590303,0.0027618207144433082,41825815.40985557,103.88591174974974,123.14364252156365,131.20825830964023,Developing
92,PRT,Portugal,Lisbon,Europe,10247605,10270865,10298192,10365435,10588401,10300626,10007346,9785252,8683631,92090,112,-0.23%,0.13%,-0.5147357063541574,-2.740819883946594,-0.0002243509314071579,10231522.409585644,94.29504832229341,111.85390378977088,111.2781518080139,Developing
136,PRI,Puerto Rico,San Juan,North America,3260314,3252407,3271564,3497335,3717922,3827108,3543776,3214568,2737619,8870,368,0.24%,0.04%,-14.809981845299374,-12.005577309045213,-0.006944726064376017,3105084.2212713566,308.6379932356257,431.46651634723787,367.5664036076663,Developing
143,QAT,Qatar,Doha,Asia,2716391,2695122,2760385,2414573,1713504,645937,441675,277450,118007,11586,236,0.79%,0.03%,320.5349747730816,61.095918071974154,0.06444158096999408,4205765.965666562,10.185309856723633,55.75151044363887,234.4546003797687,Developing
114,COG,Republic of the Congo,Brazzaville,Africa,6106869,5970424,5702174,5064386,4437884,3134030,2385435,1829256,1396989,342000,18,2.29%,0.08%,94.8567499353867,28.488576988492714,0.02942882348972975,7481572.222688783,4.084763157894737,9.163830409356725,17.856342105263156,Developing
161,REU,Reunion,Saint-Denis,Africa,981796,974052,957822,922495,890130,785424,658992,551674,473925,2511,391,0.80%,0.01%,25.002037116258226,7.604731893094267,0.009749824940080032,1050794.435290412,188.73954599761052,312.7933094384707,390.9980087614496,Developing
64,ROU,Romania,Bucharest,Europe,19892812,19659267,19442038,19906079,20335211,21919876,22836234,22125224,19922618,238391,86,1.19%,0.25%,-9.247607057631166,-4.392248499413161,-0.004210040855207375,19313917.77464528,83.57118347588626,91.94925982943987,83.44615358801298,Developing
9,RUS,Russia,Moscow,Europe,144444359,144713314,145617329,144668389,143242599,146844839,148005704,138257420,130093010,17098242,9,-0.19%,1.80%,-1.6347050508189804,1.6578378335623467,-0.00071635797766334,143721596.67152026,7.608560575993719,8.588300422932369,8.447907042139185,Developing
76,RWA,Rwanda,Kigali,Africa,14094683,13776698,13146362,11642959,10309031,8109989,7319962,5247532,3896367,26338,571,2.31%,0.18%,73.79410748892508,27.522771053845897,0.024321542400255636,16676674.70952212,147.9370870984889,307.91969777507785,535.146290530792,Developing
228,BLM,Saint Barthelemy,Gustavia,North America,10994,10967,10681,9643,8988,7082,5168,2983,2417,21,440,0.25%,0.00%,55.23863315447613,18.836226079216733,0.019305434227519847,12568.576985752892,115.0952380952381,337.23809523809524,523.5238095238095,Developing
211,KNA,Saint Kitts and Nevis,Basseterre,North America,47755,47657,47642,47790,47403,45461,40636,43097,44968,261,184,0.21%,0.00%,5.046083456149226,0.5041874986815181,0.0021426817445344692,48475.887037052715,172.2911877394636,174.18007662835248,182.96934865900383,Developing
190,LCA,Saint Lucia,Castries,North America,180251,179857,179237,175623,170935,159500,142301,121633,103090,616,295,0.22%,0.00%,13.010031347962384,4.856816918711791,0.0053318335427881,187087.04905256856,167.3538961038961,258.92857142857144,292.6152597402597,Developing
220,MAF,Saint Martin,Marigot,North America,32077,31791,32552,35020,36458,29610,28127,7776,5802,53,642,0.90%,0.00%,8.331644714623437,-10.713697953809863,0.0034855002913043442,32867.862034855425,109.47169811320755,558.6792452830189,605.2264150943396,Developing
229,SPM,Saint Pierre and Miquelon,Saint-Pierre,North America,5840,5862,5906,5978,6052,6274,6324,6106,5537,242,24,-0.38%,0.00%,-6.9174370417596425,-2.4124256444150696,-0.0031118140184510645,5713.970473410406,22.880165289256198,25.925619834710744,24.132231404958677,Developing
199,VCT,Saint Vincent and the Grenadines,Kingstown,North America,103698,103948,104632,106482,109308,113813,112487,107480,98459,389,266,-0.24%,0.00%,-8.887385448059536,-4.277820470596846,-0.004038515436126655,100801.77683502746,253.10796915167094,292.5784061696658,266.5758354755784,Developing
188,WSM,Samoa,Apia,Oceania,225681,222382,214929,203571,194672,184008,168186,164905,142771,2842,81,1.48%,0.00%,22.647384896308857,10.4057080627928,0.008915300692998951,240147.4371023889,50.23610133708656,64.74595355383532,79.40921885995778,Developing
218,SMR,San Marino,San Marino,Europe,33642,33660,34007,33570,31608,26823,23132,21346,18169,61,561,-0.05%,0.00%,25.422212280505533,7.589850670716275,0.00989715861915852,36043.076911760814,297.8524590163934,439.72131147540983,551.5081967213115,Developing
187,STP,Sao Tome and Principe,So Tom,Africa,231856,227380,218641,201124,182138,143714,120343,97210,77583,964,242,1.97%,0.00%,61.331533462293166,20.041397182356235,0.021013001167152545,268186.70524619176,80.48029045643153,149.08091286307055,240.51452282157678,Developing
41,SAU,Saudi Arabia,Riyadh,Asia,36947025,36408820,35997107,32749848,29411929,21547390,16004763,10171710,6106191,2149690,17,1.48%,0.46%,71.4686790372291,22.389480132363982,0.023721791276104298,43536459.67200197,2.840498397443352,10.0234871074434,17.187140936600162,Developing
72,SEN,Senegal,Dakar,Africa,17763163,17316449,16436119,14356181,12530121,9704287,7536001,5703869,4367744,196722,92,2.58%,0.22%,83.04449363461735,31.17286736496798,0.02663367908503389,21351522.69696525,22.202620957493316,49.32995292849808,90.29576254816442,Developing
105,SRB,Serbia,Belgrade,Europe,7149077,7221365,7358005,7519496,7653748,7935022,7987529,7777010,7193533,88361,82,-1.00%,0.09%,-9.904761448676513,-3.8640284472391824,-0.004524640183198869,6925698.44878434,81.41072418827311,89.80231097429862,80.9076062968957,Developing
196,SYC,Seychelles,Victoria,Africa,107660,107118,105530,99240,92409,80060,71057,65290,54379,452,234,0.51%,0.00%,34.47414439170622,14.19883344695863,0.012961620290437681,117816.28150007481,120.3075221238938,177.12389380530973,238.18584070796462,Developing
102,SLE,Sierra Leone,Freetown,Africa,8791092,8605718,8233969,7314773,6436698,4584067,4325388,3367477,2778557,71740,122,2.15%,0.11%,91.77494569778321,27.922251440101743,0.028715535729871622,10717905.29975087,38.730931140228606,63.89834123222749,122.54100919988849,Developing
113,SGP,Singapore,Singapore,Asia,6014723,5975689,5909869,5650018,5163590,4053602,3022209,2400729,2061831,710,8377,0.65%,0.08%,48.37971266049306,14.452716036710894,0.017304736005014032,6782239.090265811,2903.987323943662,5709.298591549295,8471.440845070423,Developing
214,SXM,Sint Maarten,Philipsburg,North America,44222,44175,43621,40205,33034,30489,27845,12243,6260,34,1301,0.11%,0.00%,45.04247433500607,32.048798207907005,0.01629907531190322,49520.96434007412,184.11764705882354,896.7352941176471,1300.6470588235295,Developing
116,SVK,Slovakia,Bratislava,Europe,5795199,5643453,5456681,5424444,5396424,5376690,5261305,4973883,4522867,49037,118,2.69%,0.07%,7.783766592457441,1.1166098142028869,0.003264310772325363,5928924.184927321,92.23376226114975,109.64557375043334,118.18012929012787,Developing
148,SVN,Slovenia,Ljubljana,Europe,2119675,2119844,2117641,2080862,2057286,1984339,1986024,1901570,1741286,20273,105,-0.01%,0.03%,6.820205620108258,2.933719473131106,0.0028726797307829788,2162668.1312256167,85.89187589404627,97.88087604202634,104.55655305085581,Developing
166,SLB,Solomon Islands,Honiara,Oceania,740424,724273,691191,612660,540394,429978,324171,233668,172833,28896,26,2.23%,0.01%,72.20043816195248,27.90501004822407,0.023911353855364137,873608.7977905157,5.981208471760797,14.880191029900333,25.62375415282392,Developing
70,SOM,Somalia,Mogadishu,Africa,18143378,17597511,16537016,13763906,12026649,8721465,6999096,5892224,3720977,637657,29,3.10%,0.23%,108.03131125332727,37.50310664259013,0.03236122169357181,22674615.378843438,5.835389558963518,13.677361026382522,28.453193488035105,Developing
24,ZAF,South Africa,Pretoria,Africa,60414495,59893885,58801927,55876504,51784921,46813266,39877570,29463549,22368306,1221037,50,0.87%,0.75%,29.054219374482436,13.550288123448137,0.011151389436851344,65291166.879450895,18.319105809242473,38.33894140799992,49.47802155053451,Developing
29,KOR,South Korea,Seoul,Asia,51784059,51815810,51844690,50994401,48813042,46788591,44120039,38170501,32601143,100210,531,-0.06%,0.65%,10.676679705956522,6.210733598614895,0.004420304741134418,53407773.5682621,325.3282406945415,466.9054086418521,516.7554036523301,Developing
86,SSD,South Sudan,Juba,Africa,11088796,10913164,10606227,11194299,9714419,6114440,4750817,4192011,3342410,619745,18,1.61%,0.14%,81.35423685570551,9.180250512151062,0.026219670802479778,13291277.92098884,5.393202042775657,9.86605781410096,17.8925138565055,Developing
30,ESP,Spain,Madrid,Europe,47519628,47558630,47363807,46431342,46572772,40741651,38889889,37491666,33792617,505992,95,-0.08%,0.59%,16.636480932007395,1.6984924152678735,0.006713387104924307,49798233.69613769,66.7848839507344,80.5183698556499,93.91379310344827,Developing
61,LKA,Sri Lanka,Colombo,Asia,21893579,21832143,21715079,21336697,20668557,18776371,17204094,14943645,12388769,65610,354,0.28%,0.27%,16.601759733017634,5.063352995567131,0.006700355432558203,22941315.429358188,188.82440176802317,286.1815424477976,333.6927145252248,Developing
32,SDN,Sudan,Khartoum,Africa,48109006,46874204,44440486,38171178,33739933,26298773,21090886,16673586,11305206,1886068,26,2.63%,0.60%,82.93251171832237,31.714802160395518,0.026606363783512554,57816799.63877675,5.994060659530834,13.94370351440139,25.507567065450452,Developing
170,SUR,Suriname,Paramaribo,South America,623236,618040,607065,575475,546080,478998,412756,375112,379918,163820,4,0.84%,0.01%,30.112443058217366,11.167777615001464,0.011510473557449163,675219.8784131088,2.3191185447442315,2.9239287022341593,3.8043950677572944,Developing
87,SWE,Sweden,Stockholm,Europe,10612086,10549347,10368969,9849349,9381729,8871043,8548406,8311763,8027702,450295,26,0.59%,0.13%,19.6261364080864,10.52300700649102,0.007821786523475316,11206937.708838392,17.82765076227806,19.70051410741847,23.566963879234724,Developing
101,CHE,Switzerland,Bern,Europe,8796669,8740472,8638613,8281732,7822435,7182059,6711693,6319113,6181227,41284,223,0.64%,0.11%,22.481157562197694,10.43380993258493,0.008855809498768519,9356683.630106077,149.72451797306462,173.96713012305008,213.07695475244645,Developing
60,SYR,Syria,Damascus,Asia,23227014,22125249,20772595,19205178,22337563,16307654,12408996,8898954,6319199,185180,126,4.98%,0.29%,42.43013740664353,-7.005992551649435,0.01549629488030524,25866745.13518681,34.12463008964251,88.06379738632681,125.42938762285344,Developing
57,TWN,Taiwan,Taipei,Asia,23923276,23893394,23821464,23512136,23083083,22194731,20586174,18100281,14957870,36193,661,0.13%,0.30%,7.788087181592784,3.1987971450780646,0.0032660592851188053,24475608.18433388,413.2807448954218,613.2326969303457,660.9917939933136,Developing
95,TJK,Tajikistan,Dushanbe,Asia,10143543,9952787,9543207,8524063,7621779,6272998,5417860,4045965,2993019,143100,73,1.92%,0.13%,61.701677571075265,25.209704978325924,0.021114738166760683,11741172.986340923,20.915576519916144,43.83646401118099,70.88429769392033,Developing
22,TZA,Tanzania,Dodoma,Africa,67438106,65497748,61704518,52542823,45110527,34463704,26206012,19297659,13618192,945087,76,2.96%,0.84%,95.67863628355211,36.785185418028924,0.029617227541880675,82724846.23543037,14.409458600107715,36.46617083929839,71.35650580316944,Developing
